branch_id,latitude,longitude,districtName,branchName,GTV2024,AOV2024,Bill2024,total_revenue,total_qty,transaction_count,performance_score,Category,dist_to_sudirman_cbd,dist_to_blok_m,dist_to_pondok_indah,dist_to_kemang,dist_to_senayan,dist_to_nearest_landmark,competitors_0.5km,same_category_competitors_0.5km,competitor_revenue_0.5km,competition_intensity_0.5km,competitors_1.0km,same_category_competitors_1.0km,competitor_revenue_1.0km,competition_intensity_1.0km,competitors_2.0km,same_category_competitors_2.0km,competitor_revenue_2.0km,competition_intensity_2.0km
4290,-6.363502,106.805242,Jagakarsa,MOHAMMAD KAHFI 1,36182000.0,20675.42857143,1750.0,1597796448.0,111972.0,23912,0.045986840293021275,Thai Appetizers and Salads,15.427491908990236,13.30976187794242,11.712250116787247,9.617462889702562,15.18040402082101,9.617462889702562,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
4291,-6.221312,106.841812,Tebet,MENTENG PULO,165329450.0,62083.90912505,2663.0,51870584.0,3806.0,1066,0.03408056317603078,Thai Appetizers and Salads,5.454586679421675,5.480251240372212,9.705270304320921,8.413060946645446,4.856933945723019,4.856933945723019,15,1,5366086831.0,335380426.9375,17,1,6629680804.26,368315600.2366667,30,8,37640414464.26,1214206918.2019355
4296,-6.229379,106.821532,Setia Budi,KUNINGAN JAKSEL,3051474531.0,87880.49796965,34723.0,567302686.0,40178.0,6690,0.43276759818705385,Thai Appetizers and Salads,3.2422412344949287,3.0801596187864693,7.323951712121175,6.336506445336774,2.600511702861065,2.600511702861065,2,0,3171760531.0,1057253510.3333334,21,2,58218588089.0,2646299458.590909,52,7,98558370600.6,1859591898.1245284
4513,-6.27763953,106.79886918,Cilandak,Abubaso,84317000.0,39035.64814815,2160.0,942053000.0,88221.0,20328,0.04894483590068689,Local and International Food,5.909374410077941,3.7898084283231657,3.903128651879678,0.8904641403461374,5.665630625408926,0.8904641403461374,5,0,421585000.0,70264166.66666667,7,0,590219000.0,73777375.0,19,0,2643259973.26,132162998.66300002
4618,-6.21621332,106.81816962,Setia Budi,ODIN,3051474531.0,87880.49796965,34723.0,5613848759.0,39860.0,12216,0.4687647526911039,Others,2.9734657898591124,3.778814451787167,7.927690612870789,7.446756872110971,2.4790337214934266,2.4790337214934266,2,0,6102949062.0,2034316354.0,14,1,42720643434.0,2848042895.6,47,8,104192951260.45001,2170686484.5927086
4648,-6.22372243,106.84216895,Tebet,Haagendazs Kiosk Mall Kota Kasablanka,165329450.0,62083.90912505,2663.0,1274509542.3872,19500.0,3614,0.04445707987169378,Others,5.482970900726839,5.402881336625632,9.609441419019737,8.244452620336183,4.872657870792134,4.872657870792134,15,0,5366086831.0,335380426.9375,15,0,5366086831.0,335380426.9375,31,2,34919598833.26,1091237463.539375
4663,-6.27333123,106.79819145,Cilandak,TDC Cipete,84317000.0,39035.64814815,2160.0,73956396.8479,6776.0,2926,0.020230666758292395,Others,5.4274641047286885,3.3111837116924474,3.6888910547091607,0.950059525504275,5.188733708073803,0.950059525504275,2,0,168634000.0,56211333.333333336,5,1,421585000.0,70264166.66666667,17,4,2600286973.26,144460387.40333334
4733,-6.29162728,106.79962148,Cilandak,Haagendazs Cafe Cilandak Town Square,84317000.0,39035.64814815,2160.0,7759070579.3615,159656.0,49616,0.12744694946527724,Coffee and Hot Beverages,7.456024382603225,5.3388220135855065,4.743371559131358,1.8183633462127515,7.21371265885626,1.8183633462127515,2,0,168634000.0,56211333.333333336,4,0,337268000.0,67453600.0,19,1,1548300000.0,77415000.0
4740,-6.22369935,106.84213761,Tebet,Haagendazs Cafe Mall Kota Kasablanka,165329450.0,62083.90912505,2663.0,3270030744.439,83230.0,19290,0.07716022392166705,Coffee and Hot Beverages,5.479547409573538,5.400736036451571,9.607612854946465,8.243912923083371,4.8693526748460005,4.8693526748460005,15,1,5366086831.0,335380426.9375,15,1,5366086831.0,335380426.9375,31,2,34919598833.26,1091237463.539375
4887,-6.249482,106.799418,Kebayoran Baru,BEAU - Panglima Polim,631796986.63,405517.96317715,1558.0,6474745516.8256,116200.0,53725,0.289856608377005,Fried and Crispy,2.8555775518660216,0.7061318142841563,4.09974624401717,3.2665477631350104,2.5547411209035698,0.7061318142841563,7,0,4422578906.41,552822363.30125,16,0,10108751786.079998,594632458.0047058,38,1,17798215652.37999,456364503.90717924
